"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.330068947,     -0.2268259078,       0.175627895,       3.145958768
          0,           0,           1,      -2.274108504,     -0.1767311332,      0.2296874833,       3.211083971
          0,           0,           2,      -2.657940226,     -0.3266779857,    -0.08183664609,       2.819576123
          0,           0,           3,      -3.005619891,      -0.624014957,     -0.6313248219,       2.462207438
          0,           0,           4,      -3.191864983,     -0.8511979472,     -0.7274767333,       2.289575551
