"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          80,     -0.1360948628,       3.005843099,       2.136705107,       6.067787846
          0,           0,          81,      -0.185629233,       2.919216952,       2.116081943,       5.998733692
          0,           0,          82,     -0.1909032188,       2.811707324,       2.134295372,       5.890058212
          0,           0,          83,     -0.1828910245,       2.874429528,        2.16656898,       5.974285947
          0,           0,          84,     -0.2642381821,       2.773994898,       2.027691463,       5.883301253
          0,           0,          85,     -0.2440130994,       2.778838715,        1.98359228,       5.831218458
          0,           0,          86,     -0.1957194116,       2.864934178,       2.015027794,       5.934866169
          0,           0,          87,     -0.2116996754,       2.833796842,       2.051248964,        5.89296237
          0,           0,          88,     -0.2166308831,       2.832772202,       2.079172192,        5.89658223
          0,           0,          89,     -0.2235811901,       2.864752863,       2.031954938,       5.948165762
          0,           0,          90,     -0.2302684057,       2.783860487,       1.969390074,       5.816216392
          0,           0,          91,     -0.2438339759,       2.863938436,       1.946893912,       5.961865643
          0,           0,          92,      -0.230564861,       2.880005896,       1.995377537,       5.978387607
          0,           0,          93,     -0.2332695571,        2.87026632,       1.996892724,       5.982919808
          0,           0,          94,      -0.230399032,       2.866481498,        2.03242592,       5.983371501
          0,           0,          95,     -0.2606256426,       2.629321674,       2.019124773,        5.70168847
          0,           0,          96,     -0.2152079634,       2.589013942,       2.047796324,       5.638083334
          0,           0,          97,     -0.1888735636,       2.652583842,       2.019210965,       5.682173773
          0,           0,          98,     -0.2370861227,       2.624764429,       2.058786523,       5.670944591
          0,           0,          99,     -0.2395885044,       2.629806814,       2.177794202,       5.673216599
          0,           0,         100,     -0.2361765036,       2.631485573,       2.181014909,       5.702502083
          0,           0,         101,     -0.2592436509,        2.56366025,       2.314753202,       5.722739331
          0,           0,         102,     -0.2616651594,       2.602756921,       2.342469941,       5.846878057
          0,           0,         103,      -0.256213436,       2.596965815,       2.335656098,       5.765679174
          0,           0,         104,     -0.2633163895,       2.580362376,       2.331395715,       5.744171671
          0,           0,         105,     -0.2458991553,       2.619022285,       2.354737127,       5.705296246
          0,           0,         106,     -0.2718101835,       2.649706215,       2.359978405,       5.705427581
          0,           0,         107,     -0.2374411147,       2.727948383,       2.354841441,       5.742629317
          0,           0,         108,     -0.1880079795,       2.814685623,       2.324824732,         5.8067694
          0,           0,         109,     -0.2498484176,       2.730093701,       2.308493462,       5.777110633
          0,           0,         110,     -0.2364322289,       2.855788747,       2.332726545,       5.935881613
          0,           0,         111,     -0.2264003491,       2.790948335,       2.323080804,       5.850498853
          0,           0,         112,     -0.1903866979,       2.914079102,       2.329486049,       6.003808874
          0,           0,         113,     -0.2105480165,       2.810172188,       2.328800198,       5.910277092
          0,           0,         114,     -0.2014443035,       2.761771419,       2.325946567,       5.853098066
          0,           0,         115,     -0.2360051837,       2.718790236,        2.32234339,       5.859622523
          0,           0,         116,     -0.2373365983,       2.666674643,        2.32557707,       5.880197663
          0,           0,         117,     -0.2699078078,       2.454474258,       2.238143068,       5.776355615
          0,           0,         118,     -0.2870396279,       2.610898027,       2.244956643,       5.841561971
          0,           0,         119,     -0.2719156764,       2.682733684,       2.259951762,       5.914354033
          0,           0,         120,      -0.236677021,       2.717947815,       2.305958516,       5.911773778
          0,           0,         121,     -0.2602098266,       2.526038255,       2.324683875,       5.863924362
          0,           0,         122,     -0.2575083096,       2.538878262,       2.274381155,       5.929968947
          0,           0,         123,     -0.3214605923,       2.507290222,       2.289059101,       6.016547675
          0,           0,         124,     -0.2725150571,       2.578066954,        2.24942678,       6.098458015
          0,           0,         125,      -0.233818093,       2.727111988,       2.237109021,       6.247699306
          0,           0,         126,     -0.2743995524,       2.679619108,       2.245614558,       6.359068987
          0,           0,         127,     -0.2381613152,       2.866854243,       2.272311089,       6.502858359
          0,           0,         128,     -0.2549262007,       2.800372239,       2.339636666,       6.629807239
          0,           0,         129,     -0.2534239137,       2.779493804,       2.354562547,       6.762576369
          0,           0,         130,     -0.2586036118,       2.783107073,        2.37429137,       6.900184833
          0,           0,         131,     -0.2378809012,       2.767110032,       2.415393252,       5.996480683
          0,           0,         132,     -0.2455969323,       2.816132656,       2.411184701,        5.99116196
          0,           0,         133,    -0.09178650773,       3.233588064,       2.898870035,       6.486668975
          0,           0,         134,    -0.04972721147,       3.290235626,       2.917583709,       6.511398978
          0,           0,         135,    -0.07278080444,       3.274137346,       2.920451227,       6.553189146
          0,           0,         136,    -0.06959090059,       3.271825024,        2.94041379,       6.555054818
          0,           0,         137,     -0.3283260876,       2.689370664,       2.261833015,       6.259675509
          0,           0,         138,     -0.3479882528,        2.68669089,       2.239417696,       6.238895134
          0,           0,         139,     -0.3692737837,       2.707761443,       2.182013076,       6.087443497
          0,           0,         140,     -0.3181555531,        2.75876778,        2.17624264,       6.090577857
          0,           0,         141,     -0.2533622912,       2.834183167,       2.274734691,       6.068037427
          0,           0,         142,     -0.3411033022,       2.695931794,        2.24831564,       5.991023304
          0,           0,         143,      -0.301324551,       2.765717011,       2.218048454,       6.089182011
          0,           0,         144,     -0.2119570065,       2.873530572,       2.230088506,       6.232866285
          0,           0,         145,    -0.04666792622,       3.008740361,       2.320728956,       6.266522065
          0,           0,         146,    -0.09329304868,       2.957153812,       2.331442458,       6.546625377
          0,           0,         147,     -0.1201775448,       2.912578038,       2.411369441,       6.857651244
          0,           0,         148,     -0.1392287151,       2.921015952,       2.403307005,       7.128561786
          0,           0,         149,    -0.04932204377,       3.000248623,       2.425521246,       7.307487543
          0,           0,         150,     0.06486452485,       3.171824502,       2.544722455,       7.558269279
          0,           0,         151,      0.2614868709,       3.362357516,       2.893782692,       7.731249912
          0,           0,         152,      0.2385480378,       3.402029331,       2.799500348,       7.826282502
          0,           0,         153,      0.2419721968,       3.361884498,        2.81929115,       7.644074132
          0,           0,         154,      0.3336762823,       3.375458145,        2.93330711,       7.359293557
          0,           0,         155,       0.407546057,       3.341601288,       2.974866168,       7.356747578
          0,           0,         156,      0.3509862514,       3.357236657,       2.973597962,       7.645583426
