"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          75,      -6.158214717,      -4.191569903,      -3.562017658,     -0.6783502141
          0,           0,          76,      -6.171164479,      -4.226915742,      -3.567914152,     -0.6914446866
          0,           0,          77,      -6.169313313,      -4.240107605,      -3.562022949,     -0.6897834558
          0,           0,          78,      -6.164870566,      -4.228866667,      -3.557814199,     -0.6854208522
          0,           0,          79,      -6.167583272,      -4.207907072,      -3.563921447,     -0.6880398969
          0,           0,          80,      -6.181481933,      -4.196777133,      -3.582278807,     -0.7017207203
          0,           0,          81,      -6.205914256,      -4.204530128,      -3.609905156,     -0.7259024858
          0,           0,          82,      -6.232698958,      -4.231338518,      -3.636592692,     -0.7525264016
          0,           0,          83,      -6.251006665,       -4.27054479,      -3.651404701,     -0.7708966557
          0,           0,          84,      -6.254599118,      -4.306839858,      -3.650345673,     -0.7747603673
          0,           0,          85,      -6.245351983,      -4.321385114,      -3.639022093,     -0.7658157532
          0,           0,          86,      -6.235107907,      -4.309289807,      -3.630235238,     -0.7557277337
          0,           0,          87,      -6.233909507,      -4.285955739,      -3.632907342,     -0.7544907357
          0,           0,          88,      -6.246244305,      -4.271045311,      -3.649863613,     -0.7666373021
          0,           0,          89,      -6.271668271,       -4.27543782,      -3.678704369,     -0.7918014225
          0,           0,          90,       -6.30488259,      -4.301079336,      -3.712040093,     -0.8247915921
          0,           0,          91,      -6.334804643,      -4.343611623,      -3.737253923,     -0.8546589458
          0,           0,          92,      -6.351673008,      -4.390358609,      -3.746733635,     -0.8717205138
          0,           0,          93,      -6.353475125,       -4.41830204,      -3.743059446,     -0.8738149088
          0,           0,          94,      -6.348263372,      -4.414182298,      -3.737097259,     -0.8687884191
          0,           0,          95,      -6.347416939,      -4.389951787,      -3.739296133,      -0.867915501
          0,           0,          96,      -6.356678366,      -4.368801331,      -3.753519208,     -0.8769719524
          0,           0,          97,      -6.377150801,      -4.365724041,      -3.778436249,     -0.8971526158
          0,           0,          98,      -6.404634716,      -4.385212024,      -3.807493127,     -0.9243939992
          0,           0,          99,      -6.429822723,      -4.424176092,      -3.830008115,     -0.9495334412
          0,           0,         100,      -6.445140324,      -4.472153832,      -3.839758766,     -0.9650606938
          0,           0,         101,      -6.448415788,      -4.509440703,      -3.838067727,     -0.9686783733
          0,           0,         102,      -6.444431393,       -4.51726916,      -3.832764042,     -0.9649585866
          0,           0,         103,      -6.442646224,      -4.499141114,       -3.83323885,     -0.9632340274
          0,           0,         104,      -6.449064837,      -4.476439452,       -3.84405886,     -0.9695202862
          0,           0,         105,      -6.466217607,      -4.467056698,      -3.865666531,       -0.98642089
          0,           0,         106,      -6.492393023,      -4.478310624,      -3.894369021,      -1.012330478
          0,           0,         107,      -6.522043006,      -4.510763095,      -3.922658808,      -1.041828324
          0,           0,         108,      -6.546697683,      -4.558350664,      -3.941956785,      -1.066548511
