"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          77,      -5.111721539,      -2.902832503,      -2.516815919,      0.3707295895
          0,           0,          78,      -5.174966426,      -2.950542678,      -2.589540123,      0.3084829221
          0,           0,          79,      -5.216186495,      -3.009604606,      -2.622576616,      0.2675308324
          0,           0,          80,      -5.219424811,      -3.064145699,      -2.603521904,      0.2634256792
          0,           0,          81,      -5.196637849,      -3.094310564,      -2.562993861,      0.2849540202
          0,           0,          82,      -5.171274041,      -3.089444741,      -2.531126495,      0.3094577956
          0,           0,          83,      -5.159408056,      -3.065765046,      -2.520778227,      0.3209845733
          0,           0,          84,      -5.166897235,      -3.044684616,      -2.535215215,      0.3135703521
          0,           0,          85,      -5.196378185,      -3.038345194,      -2.575522143,       0.284536451
          0,           0,          86,      -5.246065678,      -3.051356839,      -2.639850933,      0.2356462718
          0,           0,          87,      -5.310274035,      -3.084837956,      -2.720312232,      0.1725310648
          0,           0,          88,      -5.375591497,      -3.137131706,      -2.794052505,      0.1082638176
          0,           0,          89,       -5.41501349,      -3.199790102,      -2.821635851,     0.06895131572
          0,           0,          90,      -5.414981408,      -3.256493791,      -2.796505236,     0.06786620053
          0,           0,          91,      -5.389926615,      -3.284806483,      -2.753884921,      0.0915414028
          0,           0,          92,      -5.364513193,      -3.276277268,      -2.723054629,         0.1161002
          0,           0,          93,      -5.354099891,      -3.250566863,      -2.715167961,      0.1262281443
          0,           0,          94,      -5.363692124,      -3.229500454,      -2.732628552,      0.1167834769
          0,           0,          95,      -5.395882815,       -3.22458154,      -2.776425294,     0.08513081508
          0,           0,          96,      -5.447959179,       -3.23961177,      -2.844116612,     0.03395403845
          0,           0,          97,       -5.51456894,      -3.275747221,      -2.927500565,    -0.03145626515
          0,           0,          98,       -5.58065877,       -3.33085336,      -3.001300033,    -0.09646672603
          0,           0,          99,      -5.618839397,      -3.396193537,        -3.0252408,     -0.1346705096
          0,           0,         100,      -5.616655959,      -3.455109445,      -2.996516885,     -0.1338159339
          0,           0,         101,      -5.590349115,      -3.482789896,      -2.953070629,     -0.1089866274
          0,           0,         102,      -5.565272268,      -3.472436546,      -2.923277533,    -0.08476633906
          0,           0,         103,      -5.555656056,      -3.445760703,      -2.916917537,    -0.07540504418
          0,           0,         104,      -5.566706235,      -3.424556781,      -2.936332923,    -0.08624625333
          0,           0,         105,      -5.600060522,      -3.420299308,      -2.981859295,     -0.1189992163
          0,           0,         106,       -5.65329074,      -3.436508183,      -3.051183216,     -0.1712608053
          0,           0,         107,      -5.721247778,      -3.474383563,      -3.135965937,     -0.2379547934
          0,           0,         108,      -5.787924635,      -3.531173564,       -3.20991453,     -0.3035409819
          0,           0,         109,      -5.827080929,      -3.598973991,      -3.233411054,      -0.342786011
          0,           0,         110,       -5.82531402,      -3.659974915,      -3.204368677,     -0.3424590071
          0,           0,         111,      -5.799482247,      -3.688569689,      -3.161398214,     -0.3181689362
          0,           0,         112,      -5.774854489,      -3.678137055,      -3.132334612,     -0.2944148509
          0,           0,         113,      -5.765792872,      -3.650859229,      -3.126794974,     -0.2855888276
          0,           0,         114,      -5.777228863,      -3.629348953,      -3.146840561,     -0.2967838674
          0,           0,         115,      -5.810892955,       -3.62508074,      -3.192820648,     -0.3298055582
          0,           0,         116,      -5.864286655,      -3.641506128,      -3.262344526,     -0.3821864708
          0,           0,         117,      -5.932379457,      -3.679762373,      -3.347168352,     -0.4489773731
          0,           0,         118,       -5.99973036,      -3.737406651,      -3.421643638,     -0.5152162942
          0,           0,         119,      -6.040323249,      -3.806469638,      -3.446734263,     -0.5559075139
          0,           0,         120,      -6.040555596,      -3.870362201,      -3.419477236,     -0.5576459674
          0,           0,         121,      -6.016038535,      -3.901532526,      -3.377644386,     -0.5347358797
          0,           0,         122,      -5.991977689,       -3.89245656,      -3.349039117,     -0.5115837287
          0,           0,         123,       -5.98274168,      -3.865240491,      -3.343373898,     -0.5025922764
          0,           0,         124,      -5.993907464,      -3.843056262,      -3.363066423,     -0.5134997805
          0,           0,         125,      -6.026691935,       -3.83800028,      -3.408075281,     -0.5456245784
          0,           0,         126,      -6.079184641,      -3.853752332,      -3.476341785,     -0.5970883067
          0,           0,         127,      -6.146666495,      -3.891538837,      -3.560076792,     -0.6632576488
          0,           0,         128,      -6.214558645,      -3.948939372,      -3.635338886,     -0.7300135631
          0,           0,         129,      -6.258423192,      -4.019133374,      -3.664730514,     -0.7739151749
          0,           0,         130,      -6.262670895,       -4.08572591,      -3.641914485,     -0.7796507469
          0,           0,         131,      -6.240664027,      -4.121198069,      -3.602071749,     -0.7593098222
          0,           0,         132,      -6.217139018,      -4.115261619,      -3.573548863,     -0.7367555337
          0,           0,         133,      -6.207370407,      -4.088524767,      -3.567031297,     -0.7272588645
          0,           0,         134,      -6.217235294,      -4.065397622,      -3.585142777,     -0.7368754539
          0,           0,         135,      -6.248277346,      -4.058841593,       -3.62796944,     -0.7672606603
          0,           0,         136,      -6.298900936,      -4.072995092,      -3.693620525,     -0.8168616984
          0,           0,         137,      -6.364655598,      -4.109082681,      -3.774968748,      -0.881315591
          0,           0,         138,      -6.432898368,      -4.165350357,        -3.8509376,      -0.948392163
          0,           0,         139,      -6.480511241,      -4.235533187,      -3.886335611,     -0.9959219382
          0,           0,         140,       -6.49043297,      -4.305046907,       -3.87031111,      -1.007247347
          0,           0,         141,      -6.472161838,      -4.346475723,      -3.833558461,     -0.9906959043
          0,           0,         142,      -6.449509634,      -4.345587714,      -3.805086115,     -0.9691013206
          0,           0,         143,      -6.438674886,      -4.320292298,      -3.796937727,     -0.9585975426
          0,           0,         144,      -6.446512168,      -4.296009082,      -3.812471222,     -0.9662177561
          0,           0,         145,      -6.474744068,      -4.287199658,      -3.851812514,     -0.9938182689
          0,           0,         146,      -6.522422943,      -4.298810588,      -3.913431307,      -1.040505986
          0,           0,         147,      -6.585476941,      -4.332169616,      -3.991078674,      -1.102296086
          0,           0,         148,       -6.65348542,      -4.386143082,      -4.067165249,      -1.169115121
          0,           0,         149,      -6.705573851,      -4.455447594,      -4.109974131,      -1.220947683
          0,           0,         150,      -6.723094311,      -4.527355044,      -4.103597106,       -1.23969025
          0,           0,         151,      -6.710328974,       -4.57603051,      -4.071693491,      -1.228668686
          0,           0,         152,      -6.689166653,      -4.582563348,       -4.04353547,      -1.208677302
          0,           0,         153,      -6.677034446,      -4.560079957,      -4.033190021,      -1.196967059
          0,           0,         154,      -6.682008643,      -4.534734965,      -4.045074876,       -1.20178484
          0,           0,         155,      -6.706445844,        -4.5229841,      -4.079690314,      -1.225638495
          0,           0,         156,      -6.750035821,      -4.531050075,      -4.135834459,      -1.268291672
          0,           0,         157,      -6.809128805,      -4.560438468,      -4.208261952,      -1.326181272
          0,           0,         158,      -6.875827714,      -4.610852101,      -4.283153684,      -1.391685322
          0,           0,         159,      -6.931993275,      -4.677823608,      -4.333447507,      -1.447396272
          0,           0,         160,      -6.958501533,      -4.751119195,      -4.339257916,      -1.474847942
          0,           0,         161,      -6.953420588,      -4.807758009,      -4.314747822,      -1.471475184
          0,           0,         162,      -6.935067418,      -4.824362769,      -4.287909578,      -1.454421878
          0,           0,         163,      -6.921673892,      -4.807040533,      -4.275079316,      -1.441582702
          0,           0,         164,      -6.923139338,      -4.781221914,      -4.282414065,      -1.442985809
          0,           0,         165,      -6.942773174,      -4.765987182,      -4.311084035,      -1.462110091
          0,           0,         166,      -6.980953227,      -4.769450121,        -4.3602518,      -1.499433569
          0,           0,         167,       -7.03480132,      -4.793651146,      -4.425875982,      -1.552163878
          0,           0,         168,      -7.098603035,      -4.838965672,      -4.497674577,      -1.614796458
          0,           0,         169,       -7.15781534,      -4.901975401,      -4.554267576,      -1.673359797
          0,           0,         170,      -7.194139146,      -4.974897945,       -4.57417473,      -1.710251687
          0,           0,         171,      -7.199437547,      -5.038923799,      -4.560546338,      -1.717106045
          0,           0,         172,      -7.186117032,      -5.068165171,      -4.537057866,      -1.705203709
          0,           0,         173,      -7.172196572,      -5.059492003,      -4.522076531,      -1.692013301
          0,           0,         174,       -7.16974947,      -5.034779471,      -4.524185607,      -1.689641383
          0,           0,         175,      -7.183652714,      -5.015936544,      -4.545784212,      -1.703141338
          0,           0,         176,      -7.214961979,      -5.013725975,       -4.58650584,      -1.733700618
          0,           0,         177,      -7.262170468,      -5.031472135,      -4.643701015,      -1.779900095
          0,           0,         178,       -7.32091253,      -5.069875387,      -4.710014644,      -1.837537736
          0,           0,         179,      -7.380963379,       -5.12697672,      -4.770090239,      -1.896791013
          0,           0,         180,      -7.426308312,      -5.197006156,      -4.804010112,      -1.942279672
          0,           0,         181,      -7.444371256,      -5.266143157,      -4.804976527,      -1.961580645
          0,           0,         182,      -7.439394075,      -5.309479754,      -4.788281756,      -1.958070285
          0,           0,         183,      -7.426859577,      -5.314028221,      -4.772620824,      -1.946473627
          0,           0,         184,      -7.420749355,      -5.293667305,      -4.769427347,      -1.940629938
          0,           0,         185,      -7.428153256,      -5.272003446,       -4.78304903,      -1.947780951
          0,           0,         186,      -7.451306153,      -5.263346753,      -4.814126787,      -1.970318541
          0,           0,         187,      -7.490281429,      -5.273316634,      -4.861306106,      -2.008418969
          0,           0,         188,      -7.541728286,      -5.303003688,      -4.919724787,      -2.058864237
          0,           0,         189,      -7.599526266,      -5.351972306,      -4.979422816,      -2.115791782
          0,           0,         190,      -7.651212084,      -5.416144335,      -5.024564985,      -2.167225988
          0,           0,         191,      -7.682961764,      -5.486281394,      -5.042577722,      -2.199724671
          0,           0,         192,      -7.690304713,      -5.542505585,      -5.037342191,      -2.208417926
          0,           0,         193,      -7.682805634,      -5.564550472,      -5.024234576,      -2.202044912
          0,           0,         194,      -7.674509473,      -5.554095726,      -5.016768518,      -2.194264811
          0,           0,         195,      -7.675234718,      -5.532212674,      -5.022117365,      -2.194945252
          0,           0,         196,        -7.6894174,      -5.517304182,      -5.042765258,      -2.208683308
          0,           0,         197,      -7.718282411,      -5.518177426,      -5.078556202,      -2.236834427
          0,           0,         198,      -7.760602104,      -5.537726972,      -5.127024528,      -2.278283675
          0,           0,         199,      -7.812434479,      -5.576089091,      -5.182178419,      -2.329258071
          0,           0,         200,      -7.865995527,      -5.631397571,      -5.233272861,      -2.382285239
          0,           0,         201,      -7.909208532,      -5.697582953,      -5.267260521,      -2.425692936
          0,           0,         202,      -7.931843759,      -5.761627462,      -5.277922434,      -2.449312829
          0,           0,         203,      -7.934497236,      -5.802429641,      -5.272459249,      -2.453151815
          0,           0,         204,      -7.927589244,      -5.808905917,      -5.263656186,      -2.447034975
          0,           0,         205,      -7.922918005,       -5.79238299,       -5.26168485,      -2.442593447
          0,           0,         206,      -7.927842147,      -5.773251529,      -5.271709234,      -2.447296569
          0,           0,         207,      -7.945573378,      -5.764830704,      -5.295457976,      -2.464502565
          0,           0,         208,      -7.976827954,      -5.772889931,      -5.332393328,      -2.495044115
          0,           0,         209,      -8.019798461,      -5.798968822,      -5.379572678,      -2.537233383
          0,           0,         210,      -8.070136651,      -5.842479314,      -5.430691963,      -2.586902293
          0,           0,         211,      -8.119540687,       -5.90036823,      -5.475518741,      -2.636045406
          0,           0,         212,      -8.156861675,      -5.964623887,       -5.50345956,      -2.673790043
          0,           0,         213,      -8.174394634,       -6.01991443,      -5.511282953,      -2.692307741
          0,           0,         214,      -8.174759417,      -6.047750366,      -5.506411972,      -2.693651684
          0,           0,         215,      -8.168196205,      -6.045016707,      -5.499920961,      -2.687641149
          0,           0,         216,      -8.165036081,      -6.026938967,      -5.500339665,      -2.684548257
          0,           0,         217,       -8.17158757,      -6.011070551,      -5.512115457,      -2.690803891
          0,           0,         218,      -8.190609236,      -6.007431127,      -5.536775765,      -2.709294738
          0,           0,         219,      -8.222602337,      -6.020189512,      -5.573702058,      -2.740625279
          0,           0,         220,      -8.265617013,      -6.050212147,      -5.619845981,      -2.782957908
          0,           0,         221,      -8.314949652,      -6.096325978,      -5.668748548,      -2.831761367
          0,           0,         222,      -8.361900698,      -6.154522278,      -5.710314604,      -2.878602898
          0,           0,         223,      -8.395510331,      -6.215154084,      -5.734834151,      -2.912718959
          0,           0,         224,       -8.40918807,      -6.262088531,      -5.740240724,      -2.927324044
          0,           0,         225,      -8.406791297,      -6.280183225,      -5.734309566,       -2.92575438
          0,           0,         226,      -8.398939097,      -6.271882843,      -5.727762655,       -2.91831278
          0,           0,         227,      -8.395574669,      -6.253455397,      -5.728649097,      -2.914935094
          0,           0,         228,      -8.402608516,      -6.240059631,      -5.741187073,      -2.921651598
          0,           0,         229,      -8.422557926,      -6.239739252,      -5.766816121,      -2.941088924
          0,           0,         230,      -8.455810226,      -6.255780178,      -5.804840048,       -2.97372091
          0,           0,         231,      -8.500111455,      -6.288580261,      -5.851895629,      -3.017395626
          0,           0,         232,      -8.550101847,      -6.336518284,      -5.900783834,      -3.066923652
          0,           0,         233,      -8.595871826,      -6.394602159,      -5.940426105,      -3.112662798
          0,           0,         234,      -8.625743164,       -6.45157194,      -5.961018353,      -3.143097381
          0,           0,         235,      -8.634172994,      -6.490939397,        -5.9620076,      -3.152434195
          0,           0,         236,      -8.627284575,      -6.500710265,      -5.952940045,       -3.14628242
          0,           0,         237,      -8.617062177,      -6.487841705,      -5.945177407,      -3.136382032
          0,           0,         238,      -8.613421026,      -6.469081807,      -5.946550112,      -3.132677471
          0,           0,         239,      -8.621793013,      -6.457782546,      -5.960907263,      -3.140715098
          0,           0,         240,      -8.644223937,      -6.460572227,        -5.9893425,      -3.162633295
          0,           0,         241,      -8.680783955,      -6.480084434,      -6.030775818,      -3.198573659
          0,           0,         242,      -8.728330405,      -6.516167083,      -6.080859008,      -3.245496313
          0,           0,         243,      -8.780168653,      -6.566724138,      -6.130634797,      -3.296900673
          0,           0,         244,      -8.823961764,      -6.625161797,      -6.167008562,      -3.340756209
          0,           0,         245,      -8.847457875,      -6.678412712,       -6.18063135,      -3.364935067
          0,           0,         246,      -8.847938226,      -6.709353206,      -6.174640427,      -3.366349883
          0,           0,         247,      -8.835579913,      -6.710287635,       -6.16167898,       -3.35465646
          0,           0,         248,      -8.823783144,      -6.692948006,      -6.153585533,      -3.343094814
          0,           0,         249,      -8.821762136,      -6.674327492,      -6.157365546,      -3.340947488
          0,           0,         250,      -8.833868361,      -6.665940108,      -6.175998987,      -3.352675245
          0,           0,         251,      -8.861400438,       -6.67304173,      -6.209879038,      -3.379653851
          0,           0,         252,      -8.903565118,      -6.697467882,       -6.25700814,      -3.421154199
          0,           0,         253,      -8.955708435,      -6.738408807,      -6.311088687,       -3.47264675
          0,           0,         254,      -9.008598048,      -6.792841036,      -6.360129794,       -3.52516026
          0,           0,         255,       -9.04688971,      -6.851535186,      -6.389021263,      -3.563707199
          0,           0,         256,      -9.059814576,      -6.899337918,      -6.391770964,      -3.577516458
          0,           0,         257,      -9.050705766,      -6.919092084,      -6.377927212,      -3.569357216
          0,           0,         258,      -9.034271175,      -6.910356293,      -6.362772461,      -3.553478322
          0,           0,         259,      -9.023713481,      -6.889489669,      -6.357137716,      -3.543036309
          0,           0,         260,      -9.026391199,      -6.872695001,      -6.366333193,       -3.54549285
          0,           0,         261,      -9.045064509,      -6.869115775,      -6.392070522,      -3.563707277
          0,           0,         262,       -9.08026733,      -6.882587903,      -6.433819868,      -3.598274451
          0,           0,         263,      -9.129363448,      -6.913779719,      -6.487742293,      -3.646634279
          0,           0,         264,      -9.185711757,      -6.961254888,      -6.544455827,      -3.702323951
          0,           0,         265,      -9.235789429,      -7.019931088,      -6.587800943,      -3.752205236
          0,           0,         266,      -9.262965145,      -7.077007604,      -6.603433735,      -3.779971013
          0,           0,         267,      -9.262206012,      -7.115181867,        -6.5935056,      -3.780295451
          0,           0,         268,      -9.245154497,      -7.120759857,      -6.574276966,       -3.76411172
          0,           0,         269,      -9.228432374,       -7.10319386,      -6.560768022,      -3.747772272
          0,           0,         270,      -9.222841766,      -7.081443611,      -6.561189519,      -3.742143272
          0,           0,         271,      -9.233274973,      -7.069145811,      -6.578799233,      -3.752229999
          0,           0,         272,      -9.260971361,      -7.072774595,       -6.61398513,      -3.779354962
          0,           0,         273,      -9.305196588,      -7.094623148,      -6.664838823,      -3.822835246
          0,           0,         274,      -9.361053771,      -7.134307474,      -6.724541231,      -3.877892138
          0,           0,         275,      -9.418293452,       -7.18904871,      -6.779025549,      -3.934573439
          0,           0,         276,      -9.458825738,      -7.250078798,      -6.809173872,      -3.975286134
          0,           0,         277,      -9.469895405,      -7.301636851,        -6.8077751,      -3.987352938
          0,           0,         278,      -9.456423025,      -7.324196174,      -6.787962982,      -3.975001846
          0,           0,         279,      -9.436234722,      -7.315262842,      -6.768461824,      -3.955480446
          0,           0,         280,      -9.423843578,      -7.292392654,      -6.761001569,      -3.943255243
          0,           0,         281,       -9.42661777,      -7.273501237,      -6.770694824,      -3.945814737
          0,           0,         282,      -9.446973501,      -7.268556442,      -6.798890895,      -3.965680673
          0,           0,         283,      -9.485241779,      -7.281625097,      -6.844844614,      -4.003240621
          0,           0,         284,      -9.538134475,      -7.313316049,      -6.904019626,      -4.055282556
          0,           0,         285,      -9.598224084,      -7.362358829,      -6.965358684,      -4.114583997
          0,           0,         286,       -9.64949444,      -7.423285847,      -7.009220571,      -4.165620269
          0,           0,         287,      -9.673715384,      -7.482622919,      -7.019880408,      -4.190559965
          0,           0,         288,      -9.667778203,      -7.521496464,       -7.00338204,      -4.185876525
          0,           0,         289,      -9.647102502,      -7.525272381,      -6.980152126,      -4.166146637
          0,           0,         290,      -9.629537153,      -7.505338716,      -6.965867054,      -4.148973383
          0,           0,         291,      -9.625336026,      -7.482295227,       -6.96798795,      -4.144710157
          0,           0,         292,      -9.638685711,      -7.470051943,      -6.989072478,      -4.157664877
          0,           0,         293,      -9.670376603,      -7.474910543,      -7.029033706,      -4.188709881
          0,           0,         294,      -9.718885328,      -7.498779703,      -7.085252695,      -4.236373064
          0,           0,         295,      -9.778619041,      -7.541295218,       -7.14943516,      -4.295201112
          0,           0,         296,      -9.836929672,      -7.599043366,      -7.204318387,      -4.352935311
          0,           0,         297,       -9.87390903,      -7.662201845,      -7.228884911,      -4.390249478
          0,           0,         298,      -9.878607871,      -7.713753554,      -7.219750459,      -4.396156263
          0,           0,         299,      -9.860670151,      -7.732580912,      -7.195502531,      -4.379406987
          0,           0,         300,      -9.839777183,      -7.719795745,      -7.175673658,      -4.359154382
          0,           0,         301,      -9.829507543,      -7.695312368,      -7.170721656,      -4.348994324
          0,           0,         302,      -9.836053233,      -7.677104174,      -7.184633144,      -4.355256905
          0,           0,         303,      -9.860993929,      -7.674398283,       -7.21802236,      -4.379628834
          0,           0,         304,      -9.904140517,      -7.690644288,      -7.269587496,      -4.421970264
          0,           0,         305,      -9.961178266,       -7.72608933,       -7.33336805,      -4.478062938
          0,           0,         306,      -10.02295424,      -7.778985891,      -7.395643232,      -4.539027607
          0,           0,         307,      -10.07093398,      -7.842737877,      -7.434065323,       -4.58693371
